mary;2.629;2.629;1
patricia;1.073;3.702;2
linda;1.035;4.736;3
barbara;0.98;5.716;4
elizabeth;0.937;6.653;5
jennifer;0.932;7.586;6
maria;0.828;8.414;7
susan;0.794;9.209;8
margaret;0.768;9.976;9
dorothy;0.727;10.703;10
lisa;0.704;11.407;11
nancy;0.669;12.075;12
karen;0.667;12.742;13
betty;0.666;13.408;14
helen;0.663;14.071;15
sandra;0.629;14.7;16
donna;0.583;15.282;17
carol;0.565;15.848;18
ruth;0.562;16.41;19
sharon;0.522;16.932;20
michelle;0.519;17.451;21
laura;0.51;17.961;22
sarah;0.508;18.469;23
kimberly;0.504;18.973;24
deborah;0.494;19.467;25
jessica;0.49;19.958;26
shirley;0.482;20.439;27
cynthia;0.469;20.908;28
angela;0.468;21.376;29
melissa;0.462;21.839;30
brenda;0.455;22.293;31
amy;0.451;22.745;32
anna;0.44;23.185;33
rebecca;0.43;23.615;34
virginia;0.43;24.044;35
kathleen;0.424;24.468;36
pamela;0.416;24.884;37
martha;0.412;25.297;38
debra;0.408;25.704;39
amanda;0.404;26.108;40
stephanie;0.4;26.508;41
carolyn;0.385;26.893;42
christine;0.382;27.275;43
marie;0.379;27.655;44
janet;0.379;28.034;45
catherine;0.373;28.408;46
frances;0.37;28.777;47
ann;0.364;29.141;48
joyce;0.364;29.505;49
diane;0.359;29.864;50
alice;0.357;30.221;51
julie;0.348;30.568;52
heather;0.337;30.905;53
teresa;0.336;31.241;54
doris;0.335;31.577;55
gloria;0.335;31.912;56
evelyn;0.322;32.233;57
jean;0.315;32.548;58
cheryl;0.315;32.863;59
mildred;0.313;33.176;60
katherine;0.313;33.489;61
joan;0.306;33.795;62
ashley;0.303;34.098;63
judith;0.297;34.395;64
rose;0.296;34.691;65
janice;0.285;34.975;66
kelly;0.283;35.258;67
nicole;0.281;35.539;68
judy;0.276;35.815;69
christina;0.275;36.09;70
kathy;0.272;36.362;71
theresa;0.271;36.633;72
beverly;0.267;36.9;73
denise;0.264;37.164;74
tammy;0.259;37.423;75
irene;0.252;37.675;76
jane;0.25;37.925;77
lori;0.248;38.173;78
rachel;0.242;38.415;79
marilyn;0.241;38.657;80
andrea;0.236;38.893;81
kathryn;0.234;39.127;82
louise;0.229;39.356;83
sara;0.229;39.584;84
anne;0.228;39.812;85
jacqueline;0.228;40.04;86
wanda;0.226;40.266;87
bonnie;0.223;40.489;88
julia;0.223;40.711;89
ruby;0.221;40.932;90
lois;0.22;41.153;91
tina;0.22;41.372;92
phyllis;0.219;41.591;93
norma;0.218;41.809;94
paula;0.217;42.026;95
diana;0.216;42.242;96
annie;0.216;42.458;97
lillian;0.211;42.669;98
emily;0.208;42.877;99
robin;0.208;43.085;100
peggy;0.208;43.293;101
crystal;0.207;43.5;102
gladys;0.205;43.705;103
rita;0.204;43.908;104
dawn;0.202;44.111;105
connie;0.2;44.311;106
florence;0.2;44.511;107
tracy;0.197;44.708;108
edna;0.197;44.904;109
tiffany;0.195;45.1;110
carmen;0.195;45.295;111
rosa;0.194;45.489;112
cindy;0.192;45.681;113
grace;0.189;45.869;114
wendy;0.185;46.055;115
victoria;0.18;46.235;116
edith;0.179;46.414;117
kim;0.178;46.592;118
sherry;0.178;46.77;119
sylvia;0.177;46.947;120
josephine;0.177;47.123;121
thelma;0.175;47.298;122
shannon;0.175;47.473;123
sheila;0.175;47.648;124
ethel;0.174;47.822;125
ellen;0.173;47.995;126
elaine;0.173;48.168;127
marjorie;0.173;48.341;128
carrie;0.171;48.512;129
charlotte;0.169;48.68;130
monica;0.166;48.847;131
esther;0.166;49.013;132
pauline;0.165;49.178;133
emma;0.165;49.342;134
juanita;0.164;49.506;135
anita;0.162;49.669;136
rhonda;0.162;49.83;137
hazel;0.161;49.991;138
amber;0.16;50.151;139
eva;0.159;50.31;140
debbie;0.157;50.467;141
april;0.154;50.621;142
leslie;0.154;50.775;143
clara;0.153;50.928;144
lucille;0.153;51.081;145
jamie;0.153;51.235;146
joanne;0.15;51.385;147
eleanor;0.15;51.535;148
valerie;0.149;51.684;149
danielle;0.149;51.833;150
megan;0.147;51.981;151
alicia;0.146;52.126;152
suzanne;0.145;52.272;153
michele;0.145;52.417;154
gail;0.145;52.562;155
bertha;0.143;52.704;156
darlene;0.142;52.847;157
veronica;0.142;52.989;158
jill;0.142;53.131;159
erin;0.141;53.272;160
geraldine;0.141;53.413;161
lauren;0.137;53.55;162
cathy;0.137;53.687;163
joann;0.136;53.823;164
lorraine;0.135;53.958;165
lynn;0.135;54.093;166
sally;0.135;54.228;167
regina;0.133;54.36;168
erica;0.13;54.49;169
beatrice;0.13;54.62;170
dolores;0.129;54.749;171
bernice;0.128;54.877;172
audrey;0.127;55.003;173
yvonne;0.126;55.129;174
annette;0.125;55.255;175
june;0.125;55.38;176
samantha;0.124;55.504;177
marion;0.122;55.626;178
dana;0.122;55.748;179
stacy;0.121;55.869;180
ana;0.12;55.989;181
renee;0.12;56.109;182
ida;0.118;56.227;183
vivian;0.118;56.346;184
roberta;0.117;56.463;185
holly;0.117;56.58;186
brittany;0.117;56.697;187
melanie;0.116;56.813;188
loretta;0.115;56.928;189
yolanda;0.115;57.043;190
jeanette;0.115;57.158;191
laurie;0.114;57.271;192
katie;0.113;57.385;193
kristen;0.111;57.496;194
vanessa;0.111;57.607;195
alma;0.111;57.718;196
sue;0.111;57.829;197
elsie;0.11;57.939;198
beth;0.11;58.049;199
jeanne;0.109;58.158;200
vicki;0.109;58.267;201
carla;0.107;58.374;202
tara;0.107;58.482;203
rosemary;0.107;58.589;204
eileen;0.105;58.694;205
terri;0.105;58.799;206
gertrude;0.103;58.902;207
lucy;0.103;59.005;208
tonya;0.102;59.107;209
ella;0.101;59.208;210
stacey;0.101;59.308;211
wilma;0.099;59.408;212
gina;0.099;59.506;213
kristin;0.099;59.605;214
jessie;0.098;59.703;215
natalie;0.098;59.801;216
agnes;0.098;59.899;217
vera;0.098;59.997;218
willie;0.097;60.094;219
charlene;0.097;60.191;220
bessie;0.096;60.287;221
delores;0.095;60.382;222
melinda;0.094;60.477;223
pearl;0.094;60.571;224
arlene;0.094;60.665;225
maureen;0.092;60.757;226
colleen;0.092;60.849;227
allison;0.092;60.941;228
tamara;0.092;61.033;229
joy;0.091;61.124;230
georgia;0.091;61.215;231
constance;0.091;61.305;232
lillie;0.09;61.396;233
claudia;0.09;61.485;234
jackie;0.09;61.575;235
marcia;0.09;61.665;236
tanya;0.089;61.754;237
nellie;0.089;61.843;238
minnie;0.089;61.931;239
marlene;0.088;62.02;240
heidi;0.088;62.108;241
